,State,LocationDesc,GeographicLevel,"Data Value (Per 100,000 Population)",Gender,Race/Ethnicity,LocationID,Latitude,Longitude
67197,US,United States,Nation,165.1,Overall,Asian,0,,
67973,US,United States,Nation,253.6,Female,Overall,0,,
68318,US,United States,Nation,292.3,Male,Hispanic,0,,
69192,US,United States,Nation,218.5,Female,American Indian or Alaska Native,0,,
69416,US,United States,Nation,417.5,Male,Native Hawaiian or Other Pacific Islander,0,,
69670,US,United States,Nation,367.5,Male,American Indian or Alaska Native,0,,
70260,US,United States,Nation,212.2,Male,Asian,0,,
70603,US,United States,Nation,430.8,Overall,Black,0,,
71210,US,United States,Nation,335.4,Overall,White,0,,
71235,US,United States,Nation,260.1,Female,White,0,,
71960,US,United States,Nation,229.7,Overall,Hispanic,0,,
72681,US,United States,Nation,259.6,Female,Native Hawaiian or Other Pacific Islander,0,,
73533,US,United States,Nation,127.8,Female,Asian,0,,
73763,US,United States,Nation,325.7,Overall,Overall,0,,
73828,US,United States,Nation,181.0,Male,More than one race,0,,
74201,US,United States,Nation,287.5,Overall,American Indian or Alaska Native,0,,
74417,US,United States,Nation,143.0,Overall,More than one race,0,,
74493,US,United States,Nation,425.2,Male,White,0,,
74809,US,United States,Nation,110.9,Female,More than one race,0,,
74857,US,United States,Nation,339.2,Female,Black,0,,
76068,US,United States,Nation,336.7,Overall,Native Hawaiian or Other Pacific Islander,0,,
76208,US,United States,Nation,413.3,Male,Overall,0,,
77049,US,United States,Nation,178.3,Female,Hispanic,0,,
77624,US,United States,Nation,553.9,Male,Black,0,,
