,State,LocationDesc,GeographicLevel,"Data Value (Per 100,000 Population)",Gender,Race/Ethnicity,LocationID,Latitude,Longitude
12,IN,Indiana,State,118.5,Female,Asian,18,39.9128,-86.2757
19,NE,Nebraska,State,120.1,Male,Asian,31,41.5228,-99.8085
22,NY,New York,State,83.4,Overall,More than one race,36,42.9465,-75.512
54,GU,Guam,State,,Female,Black,66,13.4431,144.777
86,AS,American Samoa,State,,Male,Overall,60,-14.2766,-170.367
144,FL,Florida,State,214.3,Female,Overall,12,28.6588,-82.497
196,AL,Alabama,State,164.9,Male,American Indian or Alaska Native,01,32.7949,-86.8267
199,AL,Alabama,State,397.3,Female,Black,01,32.7949,-86.8267
220,CO,Colorado,State,226.8,Overall,Hispanic,08,38.997,-105.549
225,GA,Georgia,State,170.1,Male,Hispanic,13,32.6549,-83.4547
260,AR,Arkansas,State,173.9,Female,Asian,05,34.8982,-92.434
303,DE,Delaware,State,238.0,Female,Overall,10,38.9952,-75.5014
348,CT,Connecticut,State,,Male,More than one race,09,41.6179,-72.7254
370,IA,Iowa,State,255.4,Male,Asian,19,42.076,-93.5022
380,GA,Georgia,State,409.5,Overall,Native Hawaiian or Other Pacific Islander,13,32.6549,-83.4547
426,IA,Iowa,State,131.5,Female,Hispanic,19,42.076,-93.5022
448,GA,Georgia,State,,Male,American Indian or Alaska Native,13,32.6549,-83.4547
460,AL,Alabama,State,451.4,Overall,White,01,32.7949,-86.8267
499,CA,California,State,252.7,Female,American Indian or Alaska Native,06,37.2414,-119.601
549,AR,Arkansas,State,,Female,American Indian or Alaska Native,05,34.8982,-92.434
593,CA,California,State,230.1,Male,More than one race,06,37.2414,-119.601
641,FL,Florida,State,130.2,Overall,More than one race,12,28.6588,-82.497
654,DE,Delaware,State,,Female,Native Hawaiian or Other Pacific Islander,10,38.9952,-75.5014
658,DE,Delaware,State,129.1,Overall,Asian,10,38.9952,-75.5014
894,GU,Guam,State,,Male,More than one race,66,13.4431,144.777
940,AZ,Arizona,State,499.0,Male,Native Hawaiian or Other Pacific Islander,04,34.2921,-111.664
975,HI,Hawaii,State,162.2,Female,Overall,15,20.2408,-156.326
991,AS,American Samoa,State,,Overall,Asian,60,-14.2766,-170.367
1000,CT,Connecticut,State,212.8,Female,White,09,41.6179,-72.7254
1002,FL,Florida,State,,Female,Native Hawaiian or Other Pacific Islander,12,28.6588,-82.497
1043,CA,California,State,129.9,Female,Asian,06,37.2414,-119.601
1074,AZ,Arizona,State,302.3,Female,Black,04,34.2921,-111.664
1105,CT,Connecticut,State,98.2,Female,Asian,09,41.6179,-72.7254
1194,GU,Guam,State,444.6,Female,Overall,66,13.4431,144.777
1229,CO,Colorado,State,298.8,Male,American Indian or Alaska Native,08,38.997,-105.549
1270,GU,Guam,State,,Female,Asian,66,13.4431,144.777
1289,HI,Hawaii,State,,Overall,American Indian or Alaska Native,15,20.2408,-156.326
1305,DC,District of Columbia,State,356.3,Overall,Overall,11,38.9005,-77.0159
1317,AS,American Samoa,State,,Female,Native Hawaiian or Other Pacific Islander,60,-14.2766,-170.367
1348,AK,Alaska,State,596.4,Male,Native Hawaiian or Other Pacific Islander,02,64.3173,-152.571
1350,FL,Florida,State,139.6,Male,American Indian or Alaska Native,12,28.6588,-82.497
1445,AK,Alaska,State,203.5,Female,Overall,02,64.3173,-152.571
1635,DC,District of Columbia,State,154.3,Overall,Asian,11,38.9005,-77.0159
1664,GU,Guam,State,,Overall,American Indian or Alaska Native,66,13.4431,144.777
1674,AL,Alabama,State,,Female,Native Hawaiian or Other Pacific Islander,01,32.7949,-86.8267
1791,AK,Alaska,State,608.8,Male,American Indian or Alaska Native,02,64.3173,-152.571
1837,GA,Georgia,State,357.2,Overall,Overall,13,32.6549,-83.4547
1838,CA,California,State,229.5,Overall,Hispanic,06,37.2414,-119.601
1944,AZ,Arizona,State,204.3,Female,More than one race,04,34.2921,-111.664
1959,GU,Guam,State,,Male,Black,66,13.4431,144.777
1986,AR,Arkansas,State,561.9,Male,White,05,34.8982,-92.434
2134,CT,Connecticut,State,,Female,American Indian or Alaska Native,09,41.6179,-72.7254
2158,FL,Florida,State,224.9,Overall,Hispanic,12,28.6588,-82.497
